"УИК №1"	"УИК №2"	"УИК №3"	"УИК №4"	"УИК №5"	"УИК №6"	"УИК №7"	"УИК №8"	"УИК №9"	"УИК №10"	"УИК №11"	"УИК №12"	"УИК №13"	"УИК №14"	"УИК №15"	"УИК №16"	"УИК №17"	"УИК №18"	"УИК №19"	"УИК №20"	"УИК №21"	"УИК №22"	"УИК №23"	"УИК №24"	"УИК №25"	"УИК №26"	"УИК №27"	"УИК №28"	"УИК №29"	"УИК №30"	"УИК №31"	"УИК №32"	"УИК №33"	"УИК №34"	"УИК №35"	"УИК №36"	"УИК №37"	"УИК №38"	"УИК №39"	"УИК №41"	"УИК №42"	"УИК №43"	"УИК №44"	"УИК №45"	"УИК №46"	"УИК №47"	"УИК №48"	"УИК №49"	"УИК №50"	"УИК №51"	"УИК №52"	"УИК №53"	"УИК №54"	"УИК №55"	"УИК №56"	"УИК №57"	"УИК №58"	"УИК №59"	"УИК №60"	"УИК №61"	"УИК №62"	"УИК №63"	"УИК №64"	"УИК №65"	"УИК №66"	"УИК №67"	"УИК №68"	"УИК №69"	"УИК №70"	"УИК №71"	"УИК №72"	"УИК №73"	"УИК №74"	"УИК №75"	"УИК №76"	"УИК №77"	"УИК №78"	"УИК №79"	"УИК №80"	"УИК №81"	"УИК №82"	"УИК №83"	"УИК №84"	"УИК №85"	"УИК №86"	"УИК №87"	"УИК №88"	"УИК №89"	"УИК №90"	"УИК №91"	"УИК №92"	"УИК №93"	"УИК №94"	"УИК №95"	"УИК №96"	"УИК №97"	"УИК №98"	"УИК №99"	"УИК №100"	"УИК №101"	"УИК №102"	"УИК №103"	"УИК №104"	"УИК №105"	"УИК №106"	"УИК №107"	"УИК №108"	"УИК №109"	"УИК №110"	"УИК №111"	"УИК №112"	"УИК №113"	"УИК №114"	"УИК №115"	"УИК №116"	"УИК №117"	"УИК №118"	"УИК №119"	"УИК №120"	"УИК №121"	"УИК №122"	"УИК №123"	"УИК №124"	"УИК №125"	"УИК №126"	"УИК №127"	"УИК №128"	"УИК №129"	"УИК №130"	"УИК №131"	"УИК №132"	"УИК №133"	"УИК №158"	"УИК №159"	"УИК №160"	"УИК №161"	"УИК №162"	"УИК №430"	"УИК №431"	"УИК №432"	"УИК №433"	"УИК №434"	"УИК №435"	"УИК №436"	"УИК №438"	"УИК №439"	"УИК №440"	"УИК №441"	"УИК №500"	"УИК №501"	"УИК №502"	"УИК №503"	"УИК №504"	"УИК №506"	"УИК №507"	"УИК №508"	"УИК №509"	"УИК №510"	"УИК №511"	"УИК №512"	"УИК №513"	"УИК №514"	"УИК №515"	"УИК №516"	"УИК №517"	"УИК №518"	"УИК №519"	"УИК №520"	"УИК №522"	"УИК №523"	"УИК №524"	"УИК №525"	"УИК №526"	"УИК №527"	"УИК №528"	"УИК №529"	"УИК №530"	"УИК №531"	"УИК №532"	"УИК №533"	"УИК №534"	"УИК №535"	"УИК №536"	"УИК №537"	"УИК №538"	"УИК №539"	"УИК №540"	"УИК №541"	"УИК №542"	"УИК №543"	"УИК №544"	"УИК №545"	"УИК №546"	"УИК №547"	"УИК №548"	"УИК №549"	"УИК №550"	"УИК №551"	"УИК №553"	"УИК №554"	"УИК №555"	"УИК №556"	"УИК №557"	"УИК №558"	"УИК №560"	"УИК №561"	"УИК №562"	"УИК №563"	"УИК №564"	"УИК №565"	"УИК №566"	"УИК №567"	"УИК №568"	"УИК №569"	"УИК №570"	"УИК №571"	"УИК №572"	"УИК №575"	"УИК №576"	"УИК №577"	"УИК №578"	"УИК №579"	"УИК №580"	"УИК №581"	"УИК №582"	"УИК №583"	"УИК №584"	"УИК №585"	"УИК №586"	"УИК №587"	"УИК №588"	"УИК №589"	"УИК №590"	"УИК №591"	"УИК №592"	"УИК №593"	"УИК №594"	"УИК №595"	"УИК №596"	"УИК №597"	"УИК №598"	"УИК №599"	"УИК №600"	"УИК №601"	"УИК №602"	"УИК №603"	"УИК №604"	"УИК №605"	"УИК №606"	"УИК №607"	"УИК №608"	"УИК №609"	"УИК №610"	"УИК №612"	"УИК №614"	"УИК №615"	"УИК №616"	"УИК №617"	"УИК №618"	"УИК №619"	"УИК №620"	"УИК №621"	"УИК №622"	"УИК №623"	"УИК №624"	"УИК №625"	"УИК №626"	"УИК №627"	"УИК №628"	"УИК №629"	"УИК №630"	"УИК №633"	"УИК №634"	"УИК №635"	"УИК №636"	"УИК №640"	"УИК №641"	"УИК №642"	"УИК №643"	"УИК №646"	"УИК №647"	"УИК №648"	"УИК №649"	"УИК №650"	"УИК №651"	"УИК №652"	"УИК №653"	"УИК №654"	"УИК №655"	"УИК №656"	"УИК №657"	"УИК №658"	"УИК №659"	"УИК №660"	"УИК №661"	"УИК №662"	"УИК №663"	"УИК №664"	"УИК №665"	"УИК №669"	"УИК №670"	"УИК №671"	"УИК №672"	"УИК №674"	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

6	8	10	1	8	10	8	5	5	5	4	5	10	7	10	13	13	12	9	11	10	7	12	11	12	12	10	10	10	8	8	6	7	8	5	5	1	16	6	12	7	7	7	13	10	14	8	12	6	9	7	8	5	9	17	7	13	10	14	6	16	9	7	14	10	14	6	8	6	11	5	9	9	10	9	10	8	19	5	8	6	9	4	2	11	5	8	11	11	8	8	11	10	19	11	7	11	5	4	10	9	6	9	16	6	7	6	14	12	9	14	16	11	11	10	17	4	9	10	17	9	9	8	9	8	11	10	7	8	13	10	3	6	5	6	4	4	1	1	1	1	2	1	2	0	2	1	0	0	1	2	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	1	0	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	1	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	1	0	2	0	0	0	0	1	0	1	1	0	1	0	1	0	0	0	0	0	1	2	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	
83	54	111	93	77	111	109	97	107	73	59	64	89	70	68	92	109	89	74	67	94	73	95	106	127	85	62	93	84	80	46	65	54	51	75	76	58	108	98	99	157	98	98	153	96	100	94	128	91	93	56	100	109	85	116	104	113	109	100	97	110	57	78	94	93	111	78	87	116	78	74	70	79	67	103	78	72	118	71	83	45	89	26	46	85	68	102	79	86	103	80	102	100	100	101	97	69	97	91	127	101	107	71	101	85	114	96	103	87	101	129	109	117	92	90	92	91	94	99	114	93	98	75	94	75	85	76	118	130	102	87	42	87	58	68	82	37	3	13	6	7	16	30	15	6	29	13	1	3	3	8	5	2	3	0	0	5	10	9	1	1	5	0	6	2	3	4	1	2	2	1	2	3	6	10	7	0	1	2	6	7	2	4	0	11	3	0	3	0	6	9	2	1	0	1	2	3	2	1	2	4	2	1	0	3	4	0	0	4	2	2	3	1	6	4	5	2	3	0	0	1	4	0	1	0	4	8	3	0	14	7	8	0	3	1	4	2	3	5	1	1	1	4	0	3	6	6	2	4	7	5	1	3	4	2	3	3	3	3	0	2	2	2	4	1	5	3	2	3	1	3	0	5	9	5	4	1	0	0	7	4	0	0	3	0	3	0	1	1	1	1	1	1	2	4	2	0	2	4	3	1	2	5	2	
69	67	110	90	76	93	95	90	77	75	67	78	75	76	80	91	71	97	80	44	87	69	86	90	93	89	70	87	81	84	58	71	65	72	52	57	40	54	66	58	83	33	53	82	57	48	49	71	60	60	42	47	65	70	72	79	80	62	74	75	59	41	53	39	77	76	67	83	65	66	62	52	59	56	71	40	49	81	69	76	72	42	29	19	86	60	74	72	88	80	63	43	72	66	90	59	66	69	68	80	66	57	66	88	87	107	86	89	84	89	108	82	78	92	66	75	85	67	82	84	60	85	70	92	95	94	85	93	101	94	101	68	106	79	87	83	58	15	7	7	16	10	37	16	14	55	39	10	2	3	6	2	4	7	1	1	12	7	13	2	1	1	4	0	3	4	5	6	6	7	2	4	3	4	3	4	3	1	2	7	1	3	2	1	4	3	7	3	0	7	9	6	7	2	8	4	2	3	4	3	11	0	4	7	3	3	5	1	1	0	2	1	1	0	1	4	8	2	0	2	2	4	1	2	3	11	2	10	3	9	9	18	3	3	3	0	3	1	2	2	0	2	2	6	10	1	9	10	4	7	9	5	6	4	4	2	3	7	3	1	3	1	3	5	3	2	2	1	4	3	6	2	5	12	9	9	8	2	4	1	3	0	0	3	1	2	1	0	3	2	1	1	1	0	4	4	1	1	2	3	1	5	8	1	
813	539	1024	1113	1002	1025	987	938	969	832	656	943	908	804	934	808	973	915	765	680	1041	853	935	1041	1055	980	809	1013	771	853	538	714	602	666	710	577	833	729	800	618	923	615	566	1117	694	783	765	926	772	789	460	768	796	976	994	1015	944	874	936	957	897	593	792	851	836	945	790	845	802	803	747	665	739	632	862	687	487	1019	649	709	620	634	281	304	751	702	858	723	901	910	696	580	940	921	885	688	758	860	755	1016	813	853	761	940	935	950	918	942	812	1097	919	1049	952	856	944	909	906	713	987	970	774	876	959	985	1014	906	851	1037	1018	1056	995	567	870	732	781	755	344	64	116	114	179	154	415	179	120	395	128	55	19	11	25	18	12	20	2	8	61	66	64	24	21	21	18	20	21	17	19	20	18	17	20	12	25	60	47	48	20	17	18	18	15	13	18	16	21	32	3	4	12	23	14	20	17	19	25	7	10	14	12	7	16	26	15	8	13	8	11	14	13	7	14	14	30	28	15	16	8	14	24	11	7	24	15	13	30	32	27	63	46	60	58	7	27	27	27	14	14	10	10	16	17	19	11	14	30	29	44	50	42	25	26	28	23	32	23	16	22	17	24	23	19	19	21	17	23	19	19	18	15	13	17	4	54	82	29	53	28	28	31	16	24	4	4	18	12	5	7	26	24	12	6	6	9	14	30	23	21	22	22	22	14	21	5	7	
17	11	34	28	24	32	23	30	24	19	15	20	22	22	26	18	28	37	28	18	33	33	28	37	22	37	25	19	24	19	26	31	17	19	20	13	9	41	33	26	63	28	37	64	43	55	42	54	33	29	11	30	26	30	24	28	31	34	32	44	45	27	37	31	40	37	15	37	33	19	30	29	43	24	40	20	14	27	28	23	20	32	4	17	19	19	32	18	34	29	24	32	35	41	33	37	22	26	37	33	31	31	27	27	30	40	27	32	34	23	27	35	29	33	29	38	28	23	27	31	27	31	30	29	31	31	32	34	37	42	35	14	17	15	17	21	4	3	2	0	2	3	7	3	2	8	21	1	3	1	5	0	1	1	1	0	8	5	8	0	2	0	2	0	1	0	1	3	2	0	1	0	0	0	1	0	0	0	0	2	0	4	2	0	1	0	0	1	0	2	0	3	4	0	2	0	2	0	2	3	2	3	0	1	0	4	1	2	0	2	1	1	0	0	0	0	0	0	0	0	3	3	1	1	1	4	0	4	4	6	5	12	1	1	4	0	0	1	0	0	1	1	1	0	1	0	7	2	3	1	1	0	4	2	0	0	2	1	2	2	3	5	1	1	0	0	1	4	0	0	2	0	3	4	1	3	0	1	0	1	3	0	0	1	0	1	0	3	1	1	0	0	1	0	1	0	2	3	0	1	1	2	0	0	
7	6	4	2	7	9	8	3	5	8	8	6	5	7	8	9	6	7	5	7	8	11	11	7	10	11	8	10	4	6	5	1	6	5	8	4	3	5	5	8	8	4	8	9	3	3	6	10	6	6	1	3	7	5	8	13	11	6	10	11	13	11	6	6	10	10	6	8	9	7	4	5	11	10	6	5	4	15	6	5	7	8	6	4	12	6	5	3	8	12	7	6	3	8	8	6	8	3	6	10	8	6	5	13	12	4	12	4	7	13	6	10	5	2	7	4	12	8	3	7	8	2	4	5	7	5	13	7	9	8	10	1	5	2	6	8	4	1	0	1	3	2	4	1	1	3	4	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	2	0	0	1	0	0	0	0	0	0	1	0	2	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	2	0	0	0	0	0	0	1	1	0	0	0	1	1	0	0	1	1	5	0	0	1	1	1	1	0	0	0	1	0	0	2	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	
5	4	12	4	5	9	9	15	14	8	10	13	6	9	8	16	12	8	10	13	13	4	10	9	19	13	12	16	7	7	5	11	3	6	7	6	4	16	14	7	15	14	18	17	12	18	11	17	8	9	5	17	10	11	20	16	12	15	20	11	10	5	9	9	14	18	14	21	10	18	9	15	12	9	15	14	12	18	12	9	2	8	5	3	8	5	13	10	10	11	6	15	13	11	8	15	12	6	13	12	15	16	11	7	9	10	15	10	17	10	9	16	12	17	10	14	14	11	15	17	12	7	10	19	5	10	7	9	15	13	10	2	6	5	7	7	1	1	1	1	2	1	2	0	0	3	2	1	0	3	0	0	0	2	0	0	4	4	2	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	2	1	1	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	
13	9	15	10	17	19	23	20	19	6	9	13	13	9	12	19	12	18	16	11	18	15	11	17	15	16	8	17	8	11	9	9	6	6	9	9	1	22	24	11	14	22	25	41	24	27	20	33	18	21	10	18	11	18	15	21	19	14	21	23	18	16	19	27	18	22	17	22	25	15	21	15	12	16	17	23	10	23	16	8	9	13	2	10	9	16	19	8	17	8	16	24	16	13	14	15	12	17	10	18	21	14	21	19	22	20	19	13	12	21	20	23	29	21	19	20	21	14	13	17	15	16	6	11	16	15	17	16	25	26	22	2	12	5	7	9	3	1	0	0	5	1	6	5	1	9	5	0	0	0	2	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	2	1	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	3	1	0	0	2	0	0	0	1	1	0	2	2	1	1	0	0	0	0	1	0	0	0	0	0	1	1	0	0	2	0	2	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	3	0	0	1	0	0	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	2	1	1	0	0	1	0	1	1	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	
